scenario,ms,linear_g,face_x,face_y,gaze_x,gaze_y,left_h,right_h,fatigue
2,5420,1.1085,247.6696,233.9441,0.3010,0.4868,84.8794,74.8300,1.0000
2,5440,1.0059,243.0581,232.9124,-0.0007,0.4958,91.7480,80.2872,1.0000
2,5460,0.7636,237.3993,231.8747,-0.3028,0.4757,99.5293,88.0911,1.0000
2,5480,0.4156,231.4692,230.9161,-0.5816,0.4285,104.0942,94.8472,1.0000
2,5500,0.0006,226.0998,230.1128,-0.8011,0.3605,102.2383,97.2260,0.9995
2,5520,0.3948,221.9874,229.4851,-0.9366,0.2769,105.2051,105.5283,1.0000
2,5540,0.7429,219.5968,229.0395,-0.9753,0.1792,99.4225,106.2040,1.0000
2,5560,0.9852,219.1506,228.8006,-0.9132,0.0704,89.5985,102.7323,1.0000
2,5580,1.0877,220.6074,228.7937,-0.7580,-0.0443,77.5149,95.8433,1.0000
2,5600,1.0360,223.6637,229.0295,-0.5527,-0.1585,65.2123,86.9985,1.0000
2,5620,0.8374,227.7972,229.5008,-0.3194,-0.2651,55.0148,78.8718,1.0000
2,5640,0.5198,232.3590,230.1710,-0.0695,-0.3560,53.1979,81.1630,1.0000
2,5660,0.1277,236.6475,230.9690,0.1644,-0.4243,58.6424,93.8182,0.9995
2,5680,0.2858,239.9729,231.8384,0.3500,-0.4690,61.9886,102.3331,1.0000
2,5700,0.6443,241.8129,232.7583,0.4692,-0.4903,69.0593,115.7602,1.0000
2,5720,0.9265,241.8989,233.7069,0.5143,-0.4870,71.6621,119.8989,1.0000
2,5740,1.0783,240.2401,234.6400,0.4868,-0.4574,76.0626,124.7369,1.0000
2,5760,1.0783,237.1140,235.5020,0.4108,-0.4016,80.6687,127.3720,1.0000
2,5780,0.9265,233.0235,236.2378,0.3186,-0.3215,83.6278,125.1123,1.0000
2,5800,0.6443,228.6123,236.7924,0.2059,-0.2222,83.3023,116.6509,1.0000
2,5820,0.2713,224.5591,237.1300,0.0900,-0.1125,81.2259,105.8177,1.0000
2,5840,0.1567,221.5276,237.2439,-0.0014,-0.0010,80.1151,97.0439,0.9995
2,5860,0.5406,220.0777,237.1420,-0.0467,0.1087,84.7295,95.5600,1.0000
2,5880,0.8582,220.5540,236.8223,-0.0376,0.2145,79.5459,83.7371,1.0000
2,5900,1.0568,222.9987,236.2852,0.0228,0.3112,74.7073,73.8235,1.0000
2,5920,1.1085,227.1527,235.5496,0.1147,0.3922,72.4464,67.8629,1.0000
2,5940,1.0060,232.5017,234.6518,0.1937,0.4519,74.3940,66.9628,1.0000
2,5960,0.7637,238.3438,233.6474,0.2598,0.4855,81.5480,71.7241,1.0000
2,5980,0.4156,243.8926,232.6192,0.3084,0.4906,92.7443,81.1990,1.0000
2,6000,0.0005,248.3952,231.6581,0.3221,0.4695,100.0858,88.7565,0.9995
2,6020,0.3948,251.2407,230.7997,0.2820,0.4258,109.2736,99.6392,1.0000
2,6040,0.7428,251.9942,230.0561,0.1764,0.3609,109.1522,103.7910,1.0000
2,6060,0.9851,250.4753,229.4597,0.0081,0.2763,105.0388,105.5438,1.0000
2,6080,1.0877,246.8138,229.0517,-0.2067,0.1751,96.8512,103.9824,1.0000
2,6100,1.0360,241.4337,228.8647,-0.4182,0.0624,85.0600,98.3505,1.0000
2,6120,0.8374,234.9952,228.9167,-0.6014,-0.0557,71.4764,89.3556,1.0000
2,6140,0.5198,228.3267,229.2037,-0.7480,-0.1700,62.5940,84.4495,1.0000
2,6160,0.1277,222.2980,229.6852,-0.8373,-0.2712,61.9349,89.4458,0.9995
2,6180,0.2859,217.6521,230.3144,-0.8492,-0.3554,61.4130,93.9032,1.0000
2,6200,0.6443,214.9136,231.0709,-0.7701,-0.4218,64.7344,103.5764,1.0000
2,6220,0.9265,214.3871,231.9394,-0.5976,-0.4681,63.1927,104.3711,1.0000
2,6240,1.0783,216.1171,232.8854,-0.3428,-0.4902,65.0386,109.0656,1.0000
2,6260,1.0783,219.8545,233.8586,-0.0434,-0.4851,69.5602,116.2371,1.0000
2,6280,0.9265,225.0869,234.8021,0.2543,-0.4518,75.3003,122.9717,1.0000
2,6300,0.6443,231.1028,235.6486,0.5395,-0.3918,80.0385,125.4623,1.0000
2,6320,0.2713,237.0751,236.3352,0.7819,-0.3108,81.6034,121.1216,1.0000
2,6340,0.1567,242.1790,236.8261,0.9491,-0.2166,81.3089,113.3354,0.9995
2,6360,0.5406,245.7846,237.1165,1.0000,-0.1131,86.8631,113.0612,1.0000
2,6380,0.8582,247.5084,237.1971,0.9907,-0.0023,83.6280,101.1931,1.0000
2,6400,1.0568,247.2065,237.0499,0.8571,0.1111,78.0197,87.6429,1.0000
2,6420,1.1085,245.0032,236.6693,0.6417,0.2202,71.6116,74.8907,1.0000
2,6440,1.0060,241.2823,236.0679,0.3937,0.3182,66.7652,65.4676,1.0000
2,6460,0.7636,236.6263,235.2794,0.1228,0.3984,67.0494,62.3587,1.0000
2,6480,0.4156,231.7299,234.3700,-0.1499,0.4546,76.9256,68.9268,1.0000
2,6500,0.0005,227.3355,233.4287,-0.3866,0.4841,89.6957,78.7965,0.9995
2,6520,0.3948,224.1075,232.5008,-0.5597,0.4889,103.1273,90.2979,1.0000
2,6540,0.7429,222.5023,231.6023,-0.6550,0.4698,107.0002,94.8844,1.0000
2,6560,0.9852,222.7090,230.7671,-0.6674,0.4263,108.9662,99.4624,1.0000
2,6580,1.0877,224.6399,230.0442,-0.6017,0.3590,108.2583,103.3217,1.0000
2,6600,1.0360,227.9516,229.4807,-0.4962,0.2704,103.1409,104.3654,1.0000
2,6620,0.8374,232.0951,229.1151,-0.3676,0.1647,93.2349,101.1334,1.0000
2,6640,0.5198,236.4173,228.9750,-0.2190,0.0499,81.6977,95.5690,1.0000
2,6660,0.1277,240.2522,229.0572,-0.0746,-0.0638,74.5545,93.9971,0.9995
2,6680,0.2859,242.9556,229.3329,0.0368,-0.1706,69.1271,93.5358,1.0000
2,6700,0.6443,244.0268,229.7859,0.0976,-0.2689,68.4491,98.8717,1.0000
2,6720,0.9265,243.2144,230.4108,0.1023,-0.3554,61.5564,94.2225,1.0000
2,6740,1.0783,240.5659,231.1897,0.0555,-0.4248,58.0038,93.0395,1.0000
2,6760,1.0783,236.4135,232.0874,-0.0161,-0.4716,58.3566,96.6182,1.0000
2,6780,0.9265,231.3215,233.0565,-0.0791,-0.4916,62.2313,104.4266,1.0000
2,6800,0.6443,226.0060,234.0305,-0.1393,-0.4828,68.8749,114.8326,1.0000
2,6820,0.2713,221.2172,234.9326,-0.1847,-0.4466,74.7058,121.4757,1.0000
2,6840,0.1567,217.6536,235.7038,-0.1939,-0.3884,77.4915,121.0797,0.9995
2,6860,0.5406,215.8736,236.3264,-0.1487,-0.3117,85.2832,126.4921,1.0000
2,6880,0.8582,216.2283,236.7853,-0.0422,-0.2180,86.0679,119.8544,1.0000
2,6900,1.0568,218.7790,237.0473,0.1180,-0.1107,84.0152,108.9156,1.0000
2,6920,1.1085,223.2753,237.0839,0.3065,0.0045,78.8906,94.7613,1.0000
2,6940,1.0060,229.1946,236.8825,0.4726,0.1212,71.7120,79.7775,1.0000
2,6960,0.7637,235.8061,236.4498,0.6101,0.2317,65.7978,68.0870,1.0000
2,6980,0.4156,242.2602,235.8238,0.7089,0.3274,68.8048,66.8845,1.0000
2,7000,0.0005,247.7164,235.0757,0.7493,0.4016,79.7628,73.8803,0.9995
2,7020,0.0005,251.8996,234.2669,0.7316,0.4528,88.3514,79.1667,0.9990
2,7040,0.0004,254.8633,233.4394,0.6671,0.4819,93.8011,82.4992,0.9985
2,7060,0.0004,256.6906,232.6266,0.5671,0.4904,96.3477,84.3100,0.9980
2,7080,0.0003,257.4865,231.8551,0.4423,0.4801,96.6417,85.1823,0.9975
2,7100,0.0003,257.3707,231.1457,0.3027,0.4529,95.3764,85.6106,0.9970
2,7120,0.0003,256.4719,230.5150,0.1575,0.4110,93.1226,85.9342,0.9965
2,7140,0.0003,254.9231,229.9758,0.0145,0.3566,90.2900,86.3480,0.9960
2,7160,0.0002,252.8571,229.5375,-0.1195,0.2920,87.1480,86.9362,0.9955
2,7180,0.0002,250.4033,229.2069,-0.2391,0.2194,83.8648,87.7090,0.9950
2,7200,0.0002,247.6845,228.9880,-0.3403,0.1411,80.5453,88.6314,0.9945
2,7220,0.0002,244.8150,228.8823,-0.4201,0.0595,77.2585,89.6449,0.9940
2,7240,0.0001,241.8985,228.8891,-0.4769,-0.0232,74.0557,90.6814,0.9935
2,7260,0.0001,239.0271,229.0051,-0.5102,-0.1048,71.1162,91.8476,0.9930
2,7280,0.0001,236.2801,229.2251,-0.5202,-0.1832,68.9950,93.8085,0.9925
2,7300,0.0001,233.7243,229.5414,-0.5083,-0.2563,67.0343,95.6476,0.9920
2,7320,0.0001,231.4132,229.9448,-0.4762,-0.3223,65.2739,97.3115,0.9915
2,7340,0.0001,229.3879,230.4237,-0.4265,-0.3796,63.7520,98.7531,0.9883
2,7360,0.0001,227.6773,230.9649,-0.3619,-0.4268,62.5014,99.9346,0.9851
2,7380,0.0001,226.2983,231.5544,-0.2855,-0.4627,61.5484,100.8267,0.9819
2,7400,0.0001,225.2573,232.1771,-0.2005,-0.4866,60.9123,101.4088,0.9787
2,7420,0.0001,224.5511,232.8172,-0.1101,-0.4980,60.6052,101.6681,0.9755
2,7440,0.0000,224.1683,233.4590,-0.0174,-0.4966,60.6310,101.6002,0.9723
2,7460,0.0000,224.0903,234.0866,0.0744,-0.4826,60.9857,101.2089,0.9691
2,7480,0.0000,224.2925,234.6848,0.1628,-0.4565,61.6575,100.5055,0.9659
2,7500,0.0000,224.7455,235.2392,0.2452,-0.4189,62.6270,99.5091,0.9627
2,7520,0.0000,225.4164,235.7366,0.3193,-0.3709,63.8679,98.2456,0.9595
2,7540,0.0000,226.2695,236.1651,0.3835,-0.3137,65.3473,96.7471,0.9563
2,7560,0.0000,227.2681,236.5147,0.4362,-0.2488,67.0270,95.0513,0.9531
2,7580,0.0000,228.3746,236.7774,0.4763,-0.1778,68.8644,93.2007,0.9499
2,7600,0.0000,229.5519,236.9472,0.5030,-0.1026,62.4704,80.4916,0.9467
2,7620,0.0000,230.7640,237.0205,0.5160,-0.0248,55.8006,68.3634,0.9435
2,7640,0.0000,231.9768,236.9958,0.5154,0.0534,48.9487,57.0177,0.9403
2,7660,0.0000,233.1585,236.8744,0.5013,0.1302,42.0418,46.6137,0.9371
2,7680,0.0000,234.2803,236.6595,0.4745,0.2037,35.2351,37.2685,0.9339
2,7700,0.0000,235.3167,236.3566,0.4359,0.2722,28.7051,29.0597,0.9307
2,7720,0.0000,236.2456,235.9735,0.3866,0.3340,22.6399,22.0313,0.9275
2,7740,0.0000,237.0490,235.5197,0.3281,0.3877,17.2288,16.2001,0.9243
2,7760,0.0000,237.7126,235.0062,0.2618,0.4319,12.6511,11.5637,0.9211
2,7780,0.0000,238.2261,234.4456,0.1896,0.4656,9.0654,8.1088,0.9179
2,7800,0.0000,238.5834,233.8514,0.1132,0.4882,6.5995,6.0000,0.9147
2,7820,0.0000,238.7820,233.2379,0.0345,0.4990,6.0000,6.0000,0.9115
2,7840,0.0000,238.8233,232.6198,-0.0446,0.4979,6.0000,6.0000,0.9083
2,7860,0.0000,238.7122,232.0116,-0.1221,0.4849,6.5928,6.0000,0.9051
2,7880,0.0000,238.4566,231.4278,-0.1964,0.4605,9.0505,8.1231,0.9019
2,7900,0.0000,238.0676,230.8820,-0.2656,0.4251,12.6235,11.5899,0.8987
2,7920,0.0000,237.5589,230.3868,-0.3282,0.3798,17.1840,16.2423,0.8955
2,7940,0.0000,236.9460,229.9538,-0.3828,0.3255,22.5749,22.0920,0.8923
2,7960,0.0000,236.2466,229.5929,-0.4282,0.2637,28.6197,29.1382,0.8891
2,7980,0.0000,235.4795,229.3122,-0.4634,0.1957,35.1331,37.3597,0.8859
2,8000,0.0000,234.6647,229.1179,-0.4876,0.1233,41.9311,46.7082,0.8827
2,8020,0.0000,233.8223,229.0143,-0.5004,0.0481,48.8416,57.1011,0.8795
2,8040,0.0000,232.9727,229.0034,-0.5015,-0.0282,55.7123,68.4180,0.8763
2,8060,0.0000,232.1360,229.0852,-0.4910,-0.1037,62.4171,80.4978,0.8731
2,8080,0.0000,231.3312,229.2573,-0.4692,-0.1767,68.8607,93.1400,0.8699
2,8100,0.0000,230.5763,229.5155,-0.4366,-0.2455,67.0768,94.9237,0.8667
2,8120,0.0000,229.8880,229.8535,-0.3941,-0.3086,65.4418,96.5586,0.8635
2,8140,0.0000,229.2809,230.2634,-0.3426,-0.3645,63.9927,98.0077,0.8603
2,8160,0.0000,228.7675,230.7353,-0.2834,-0.4120,62.7620,99.2384,0.8571
2,8180,0.0000,228.3582,231.2583,-0.2178,-0.4500,61.7769,100.2233,0.8539
2,8200,0.0000,228.0608,231.8203,-0.1474,-0.4777,61.0591,100.9411,0.8507
2,8220,0.0000,227.8805,232.4084,-0.0738,-0.4945,60.6239,101.3763,0.8475
2,8240,0.0000,227.8199,233.0091,0.0014,-0.5000,60.4801,101.5201,0.8443
2,8260,0.0000,227.8788,233.6088,0.0764,-0.4942,60.6297,101.3704,0.8411
2,8280,0.0000,228.0546,234.1940,0.1495,-0.4773,61.0684,100.9317,0.8379
2,8300,0.0000,228.3420,234.7516,0.2192,-0.4497,61.7851,100.2149,0.8347
2,8320,0.0000,228.7333,235.2692,0.2839,-0.4119,62.7627,99.2373,0.8315
2,8340,0.0000,229.2189,235.7352,0.3421,-0.3650,63.9783,98.0218,0.8283
2,8360,0.0000,229.7869,236.1396,0.3926,-0.3100,65.4037,96.5963,0.8251
2,8380,0.0000,230.4241,236.4735,0.4343,-0.2482,67.0065,94.9936,0.8219
2,8400,0.0000,231.1158,236.7298,0.4820,-0.1809,68.7502,93.2498,0.8187
2,8420,0.0000,231.8461,236.9031,0.5193,-0.1097,70.5957,91.4043,0.8155
2,8440,0.0000,232.5988,236.9899,0.5457,-0.0362,72.5018,89.4982,0.8123
2,8460,0.0000,233.3572,236.9886,0.5609,0.0380,74.4261,87.5739,0.8091
2,8480,0.0000,234.1045,236.8996,0.5651,0.1114,76.3262,85.6738,0.8059
2,8500,0.0000,234.8246,236.7251,0.5583,0.1821,78.1606,83.8394,0.8027
2,8520,0.0000,235.5019,236.4693,0.5411,0.2488,79.8893,82.1108,0.7995
2,8540,0.0000,236.1221,236.1381,0.5142,0.3100,81.4749,80.5251,0.7963
2,8560,0.0000,236.6720,235.7390,0.4785,0.3643,82.8835,79.1165,0.7931
2,8580,0.0000,237.1402,235.2810,0.4351,0.4107,84.0851,77.9149,0.7899
2,8600,0.0000,237.5171,234.7741,0.3851,0.4481,85.0546,76.9454,0.7867
